SUB016_SPEECH001,SUB021_SPEECH001,SUB026_SPEECH002,SUB032_SPEECH001,SUB047_SPEECH001,SUB062_SPEECH001,SUB063_SPEECH002,SUB072_SPEECH002,SUB007_SPEECH002,SUB029_SPEECH002,SUB070_SPEECH002,SUB035_SPEECH001,age,sex
3,4,7,4,6,4,4,8,4,4,8,4,50,2
1,3,9,7,10,8,3,5,4,7,6,6,32,1
3,6,7,8,8,7,8,7,6,4,6,5,35,2
6,6,8,7,10,7,6,7,6,6,7,9,30,1
5,6,6,7,6,5,6,6,5,7,5,6,29,2
1,2,9,5,6,5,5,7,4,4,4,7,44,2
1,6,6,6,5,7,6,6,6,3,5,4,45,1
4,8,7,8,10,9,9,9,10,9,9,10,40,2
2,7,6,9,9,5,9,7,7,6,6,5,48,2
1,5,9,6,9,9,2,8,4,1,4,3,43,1
4,3,5,8,7,6,7,7,5,6,8,7,31,1
7,7,7,8,7,8,7,8,7,8,6,6,33,2
1,5,5,8,6,7,4,8,4,6,5,8,34,2
8,7,9,9,9,8,8,9,7,8,8,8,23,2
6,7,8,7,7,8,6,7,9,9,8,8,44,2
5,6,8,7,9,8,8,7,8,7,8,8,19,2
1,2,6,4,3,9,4,5,6,8,3,7,51,2
1,10,8,9,9,6,1,8,5,1,1,1,25,2
3,4,9,7,9,10,8,5,5,9,7,4,59,2
1,3,8,9,5,6,6,8,4,5,7,4,42,1
2,5,6,8,10,7,1,9,6,6,6,8,22,2
9,5,8,7,8,7,5,7,8,6,4,8,27,1
2,4,9,10,10,9,10,8,4,10,4,9,43,1
3,5,7,7,4,9,9,5,4,8,2,4,49,2
1,6,5,6,6,5,3,6,2,1,1,5,39,2
2,4,6,4,10,8,8,5,6,5,9,6,31,2
6,4,5,7,3,7,2,2,4,7,7,6,59,2
1,5,3,9,7,10,2,3,8,4,7,7,46,2
1,6,10,8,9,5,7,8,5,2,7,9,36,1
4,4,5,6,6,6,5,6,5,6,5,7,49,2